profile_id,Track,ITS
1,2,0
2,2,0
3,2,0
4,2,0
5,1,0
6,3,0
7,3,0
8,1,0
9,2,0
10,2,0
11,2,0
12,1,0
13,2,0
14,3,0
15,3,0
16,3,0
17,1,0
18,2,0
19,2,0
20,3,0
21,1,0
22,1,0
23,1,0
24,2,0
25,2,0
26,2,0
27,2,0
28,1,0
29,3,0
30,1,0
31,2,0
32,1,0
33,3,0
34,3,0
35,3,0
36,2,0
37,1,0
38,2,0
39,3,0
40,3,0
41,3,0
42,2,0
43,2,0
44,3,0
45,2,0
46,1,0
47,2,0
48,1,0
49,2,0
50,3,0
51,3,0
52,3,0
53,1,0
54,3,0
55,3,0
56,2,0
57,1,0
58,3,0
59,1,0
60,1,0
61,3,0
62,3,0
63,3,0
64,1,0
65,1,0
66,3,0
67,2,0
68,1,0
69,3,0
70,2,0
71,1,0
72,3,0
73,2,0
74,1,0
75,3,0
76,3,0
77,2,0
78,1,0
79,2,0
80,2,0
81,1,0
82,3,0
83,1,0
84,3,0
85,1,0
86,1,0
87,2,0
88,1,0
89,1,0
90,1,0
1,1,0
2,1,2
3,3,3
4,1,2
5,2,3
6,2,0
7,1,0
8,2,0
9,1,0
10,3,0
11,1,0
12,2,0
13,1,0
14,1,0
15,1,1
16,2,0
17,2,1
18,1,2
19,3,0
20,2,1
21,2,2
22,3,3
23,2,2
24,1,3
25,3,1
26,3,3
27,1,0
28,2,3
29,1,1
30,3,0
31,1,0
32,2,2
33,1,2
34,1,0
35,1,0
36,1,3
37,2,1
38,3,1
39,2,0
40,1,2
41,1,1
42,1,1
43,1,3
44,2,0
45,1,1
46,3,2
47,1,0
48,2,0
49,3,0
50,1,0
51,2,3
52,1,0
53,3,2
54,1,0
55,1,3
56,1,0
57,3,0
58,1,0
59,3,0
60,3,0
61,2,0
62,1,0
63,1,2
64,2,1
65,3,3
66,2,1
67,3,0
68,2,3
69,1,3
70,3,2
71,2,0
72,1,0
73,1,0
74,3,0
75,1,0
76,2,1
77,1,3
78,2,0
79,3,0
80,3,0
81,3,2
82,1,1
83,3,2
84,2,0
85,2,0
86,3,3
87,3,1
88,2,0
89,2,2
90,2,0
1,3,3
2,3,0
3,1,0
4,3,0
5,3,0
6,1,1
7,2,3
8,3,3
9,3,2
10,1,3
11,3,2
12,3,1
13,3,2
14,2,3
15,2,0
16,1,3
17,3,0
18,3,0
19,1,1
20,1,0
21,3,0
22,2,0
23,3,0
24,3,0
25,1,0
26,1,0
27,3,3
28,3,0
29,2,0
30,2,1
31,3,1
32,3,0
33,2,0
34,2,3
35,2,1
36,3,0
37,3,0
38,1,0
39,1,3
40,2,0
41,2,0
42,3,0
43,3,0
44,1,2
45,3,0
46,2,0
47,3,1
48,3,1
49,1,2
50,2,2
51,1,0
52,2,2
53,2,0
54,2,2
55,2,0
56,3,2
57,2,2
58,2,1
59,2,3
60,2,1
61,1,2
62,2,2
63,2,0
64,3,0
65,2,0
66,1,0
67,1,1
68,3,0
69,2,0
70,1,0
71,3,3
72,2,2
73,3,3
74,2,3
75,2,3
76,1,0
77,3,0
78,3,1
79,1,2
80,1,1
81,2,0
82,2,0
83,2,0
84,1,3
85,3,1
86,2,0
87,1,0
88,3,2
89,3,0
90,3,1
